# Метеостанция Астана, Казахстан, WMO_ID=35188, выборка с 04.01.2018 по 31.08.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Астане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.04.2018 17:00";"11.6";"724.7";"755.5";"0.7";"79";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"8.1";"";"";"";"";"";"";
"22.04.2018 14:00";"14.3";"724.0";"754.4";"-0.3";"68";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"8.5";"";"";"";"";"";"";
"22.04.2018 11:00";"13.3";"724.3";"754.8";"0.7";"76";"Ветер, дующий с юга";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"9.2";"0.5";"12";"";"";"";"";
"22.04.2018 08:00";"10.0";"723.6";"754.5";"1.0";"90";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"8.4";"0.5";"12";"Поверхность почвы влажная.";"8.0";"";"";
"22.04.2018 05:00";"11.6";"722.6";"753.3";"0.1";"61";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"4.3";"";"";"";"";"";"";
"22.04.2018 02:00";"13.7";"722.5";"752.9";"-0.3";"51";"Ветер, дующий с юго-юго-запада";"6";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"3.8";"";"";"";"";"";"";
"21.04.2018 23:00";"14.3";"722.8";"753.3";"-0.4";"43";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";" ";"";"";"";"17.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"1.9";"Следы осадков";"12";"";"";"";"";
"21.04.2018 20:00";"15.5";"723.2";"753.5";"-0.8";"35";"Ветер, дующий с юго-юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"17.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"Следы осадков";"12";"";"";"";"";
"21.04.2018 17:00";"17.6";"724.0";"754.2";"-1.7";"30";"Ветер, дующий с юго-юго-запада";"5";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"50%.";"1500-2000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.2";"";"";"";"";"";"";
"21.04.2018 14:00";"15.0";"725.7";"756.1";"-1.2";"42";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"2.0";"";"";"";"";"";"";
"21.04.2018 11:00";"12.8";"726.9";"757.6";"-0.7";"45";"Ветер, дующий с юго-юго-запада";"6";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"4.0";"1.2";"Следы осадков";"12";"";"";"";"";
"21.04.2018 08:00";"9.5";"727.6";"758.7";"-0.3";"51";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.1";"Следы осадков";"12";"Поверхность почвы влажная.";"4.0";"";"";
"21.04.2018 05:00";"7.4";"727.9";"759.4";"-0.3";"66";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"1.3";"";"";"";"";"";"";
"21.04.2018 02:00";"8.5";"728.2";"759.5";"-0.8";"62";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"1.6";"";"";"";"";"";"";
"20.04.2018 23:00";"10.8";"729.0";"760.0";"-0.5";"50";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"15.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"";"0.8";"Следы осадков";"12";"";"";"";"";
"20.04.2018 20:00";"12.1";"729.5";"760.5";"-0.3";"41";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"15.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-0.8";"Следы осадков";"12";"";"";"";"";
"20.04.2018 17:00";"14.1";"729.8";"760.6";"-0.6";"37";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-0.4";"";"";"";"";"";"";
"20.04.2018 14:00";"13.7";"730.4";"761.2";"-0.5";"51";"Ветер, дующий с запада";"5";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"3.8";"";"";"";"";"";"";
"20.04.2018 11:00";"10.1";"730.9";"762.1";"0.0";"58";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"2.2";"Следы осадков";"12";"";"";"";"";
"20.04.2018 08:00";"4.5";"730.9";"762.7";"-0.6";"64";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"300-600";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-1.9";"Следы осадков";"12";"Поверхность почвы влажная.";"-3.0";"";"";
"20.04.2018 05:00";"1.6";"731.5";"763.8";"-1.2";"71";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-3.1";"";"";"";"";"";"";
"20.04.2018 02:00";"1.1";"732.7";"765.1";"-1.0";"69";"Ветер, дующий с юго-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"";"";"";"";"";"";
"19.04.2018 23:00";"1.1";"733.7";"766.2";"-0.8";"53";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"4.9";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"19.04.2018 20:00";"1.8";"734.5";"766.9";"0.1";"49";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"4.9";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"19.04.2018 17:00";"4.3";"734.4";"766.5";"-0.2";"44";"Ветер, дующий с юго-юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-6.9";"";"";"";"";"";"";
"19.04.2018 14:00";"2.2";"734.6";"766.9";"0.4";"51";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.9";"";"";"";"";"";"";
"19.04.2018 11:00";"1.1";"734.2";"766.7";"1.6";"59";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-2.3";"";"";"";"";"";"";"10.0";"-6.2";"10.0";"12";"";"";"";"";
"19.04.2018 08:00";"-1.3";"732.6";"765.3";"2.4";"82";"Ветер, дующий с северо-северо-востока";"5";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.0";"10.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"7.0";
"19.04.2018 05:00";"-2.0";"730.2";"762.8";"2.2";"89";"Ветер, дующий с северо-северо-востока";"5";"";"16";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"4.0";"-3.6";"";"";"";"";"";"";
"19.04.2018 02:00";"-1.6";"728.0";"760.5";"-0.5";"95";"Ветер, дующий с северо-северо-востока";"6";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"";"-2.3";"";"";"";"";"";"";
"18.04.2018 23:00";"0.4";"728.5";"760.8";"-1.7";"95";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"10.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-0.3";"Следы осадков";"12";"";"";"";"";
"18.04.2018 20:00";"6.3";"730.2";"761.8";"-0.8";"46";"Ветер, дующий с востоко-северо-востока";"4";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"10.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"";"-4.5";"Следы осадков";"12";"";"";"";"";
"18.04.2018 17:00";"9.2";"731.0";"762.4";"-1.4";"32";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-6.6";"";"";"";"";"";"";
"18.04.2018 14:00";"9.4";"732.4";"763.9";"-0.8";"33";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-6.1";"";"";"";"";"";"";
"18.04.2018 11:00";"7.1";"733.2";"764.9";"0.0";"36";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"-3.3";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-7.0";"";"";"";"";"";"";
"18.04.2018 08:00";"1.8";"733.2";"765.5";"0.8";"70";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-3.1";"";"";"Поверхность почвы влажная.";"-5.0";"";"";
"18.04.2018 05:00";"-1.6";"732.4";"765.1";"0.2";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-3.6";"";"";"";"";"";"";
"18.04.2018 02:00";"-2.1";"732.2";"765.0";"0.1";"82";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"17.04.2018 23:00";"1.2";"732.1";"764.4";"0.6";"62";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"8.3";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"17.04.2018 20:00";"2.9";"731.5";"763.6";"0.6";"60";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"8.3";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"17.04.2018 17:00";"5.6";"730.9";"762.6";"0.6";"56";"Ветер, дующий с востоко-северо-востока";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-2.5";"";"";"";"";"";"";
"17.04.2018 14:00";"7.1";"730.3";"761.9";"-0.4";"48";"Ветер, дующий с северо-северо-востока";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"";"10.0";"-3.2";"";"";"";"";"";"";
"17.04.2018 11:00";"6.7";"730.7";"762.4";"0.1";"55";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";" ";"";"";"0.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-1.7";"";"";"";"";"";"";
"17.04.2018 08:00";"2.8";"730.6";"762.7";"0.8";"81";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-0.1";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"0.0";"";"";
"17.04.2018 05:00";"1.0";"729.8";"762.1";"1.0";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-0.8";"";"";"";"";"";"";
"17.04.2018 02:00";"4.2";"728.8";"760.6";"0.3";"75";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"";"0.2";"";"";"";"";"";"";
"16.04.2018 23:00";"6.5";"728.5";"760.0";"0.2";"70";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"11.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"";"1.4";"";"";"";"";"";"";
"16.04.2018 20:00";"7.4";"728.3";"759.7";"0.9";"59";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"11.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"";"-0.1";"";"";"";"";"";"";
"16.04.2018 17:00";"9.8";"727.4";"758.5";"0.7";"47";"Ветер, дующий с запада";"6";"";"15";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-1.0";"";"";"";"";"";"";
"16.04.2018 14:00";"10.4";"726.7";"757.8";"0.0";"43";"Ветер, дующий с запада";"7";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.6";"";"";"";"";"";"";
"16.04.2018 11:00";"10.0";"726.7";"757.9";"0.0";"37";"Ветер, дующий с западо-юго-запада";"7";"";"";"40%.";" ";"";"";"0.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.0";"";"";"";"";"";"";
"16.04.2018 08:00";"5.5";"726.7";"758.2";"-0.3";"58";"Ветер, дующий с западо-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.1";"";"";"Поверхность почвы влажная.";"-3.0";"";"";
"16.04.2018 05:00";"0.8";"727.0";"759.1";"-0.5";"74";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.3";"";"";"";"";"";"";
"16.04.2018 02:00";"1.6";"727.5";"759.6";"-0.9";"70";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"";"";"";"";"";"";
"15.04.2018 23:00";"2.7";"728.4";"760.4";"-0.4";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"10.3";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"15.04.2018 20:00";"5.2";"728.8";"760.6";"-0.3";"52";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"10.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-3.9";"";"";"";"";"";"";
"15.04.2018 17:00";"9.4";"729.1";"760.4";"-1.2";"35";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.3";"";"";"";"";"";"";
"15.04.2018 14:00";"8.9";"730.3";"761.6";"-1.2";"35";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.7";"";"";"";"";"";"";
"15.04.2018 11:00";"7.5";"731.5";"763.1";"-0.7";"36";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"-3.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-6.6";"";"";"";"";"";"";
"15.04.2018 08:00";"4.4";"732.2";"764.2";"0.1";"51";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.9";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-4.0";"";"";
"15.04.2018 05:00";"-3.4";"732.1";"765.0";"0.3";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.6";"";"";"";"";"";"";
"15.04.2018 02:00";"-2.4";"731.8";"764.6";"-0.1";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"14.04.2018 23:00";"1.2";"731.9";"764.2";"0.7";"59";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"8.7";"";"";"";"";"";"";"-6.1";"";"";"";"";"";"";
"14.04.2018 20:00";"4.4";"731.2";"763.2";"0.6";"41";"Ветер, дующий с северо-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"8.7";"";"";"";"";"";"";"-7.7";"";"";"";"";"";"";
